cluster_label,ra_deg_param,dec_deg_param,r_sun_display_param,r_gc_kpc_display_param,n_rv,n_pm,present_mass_display,v_mag_display,mass_to_light_display,core_radius_pc,half_light_radius_pc,half_mass_radius_pc,tidal_radius_pc,log_core_density,log_half_mass_density,log_relaxation_time_yr,log_initial_mass_msun,remaining_dissolution_time_gyr,mass_range_display,mf_slope_display,sigma0_kms,vesc_kms,eta_core,eta_half_mass,rotation_amplitude_display,rotation_probability_percent,r_sun_kpc_param,r_gc_kpc_param,present_mass_msun,v_mag,mass_to_light_v,mf_slope,rotation_amplitude_kms,ra_deg,dec_deg,galactic_l_deg,galactic_b_deg,r_sun_display,r_gc_kpc_display,rv_kms_display,pmra_masyr_display,pmdec_masyr_display,pm_correlation,x_kpc_display,y_kpc_display,z_kpc_display,u_kms_display,v_kms_display,w_kms_display,r_peri_kpc_display,r_apo_kpc_display,r_sun_kpc,r_gc_kpc,rv_kms,pmra_masyr,pmdec_masyr,x_kpc,y_kpc,z_kpc,u_kms,v_kms,w_kms,r_peri_kpc,r_apo_kpc,cluster_name,cluster_alias,semi_major_axis_kpc,eccentricity,initial_mass_msun,mass_loss_fraction,radius_bin_paper
NGC 2808,138.01291,-64.86349,10.06 ± 0.11,11.58 ± 0.08,5589,9104,7.91 ± 0.08 · 105,6.13 ± 0.04,1.38 ± 0.05,0.74,2.45,3.75,160.53,4.52,3.25,9.31,6.29,30.2,0.22 − 0.83,-0.60 ± 0.14,13.8,53.1,-0.36,-0.1,2.25 ± 0.56,100.0,10.06,11.58,791000.0,6.13,1.38,-0.6,2.25,138.012909,-64.863495,282.193,-11.253,10.06 ± 0.11,11.58 ± 0.08,103.57 ± 0.27,1.004 ± 0.007,0.269 ± 0.007,-0.03,6.09 ± 0.02,-9.64 ± 0.11,-1.96 ± 0.02,-56.43 ± 0.32,149.30 ± 0.28,30.31 ± 0.32,1.08 ± 0.02,14.60 ± 0.11,10.06,11.58,103.57,1.004,0.269,6.09,-9.64,-1.96,-56.43,149.3,30.31,1.08,14.6,NGC 2808,,7.84,0.8622448979591837,1949844.5997580455,0.5943266452628304,mid_3_15kpc
FSR 1758,262.8,-39.808,11.09 ± 0.74,3.46 ± 0.63,39,304,4.91 ± 0.51 · 105,9.14 ± 0.06,2.44 ± 0.29,10.12,12.51,16.23,110.0,1.37,1.14,10.09,6.03,62.2,0.45 − 0.79,0.72 ± 0.24,5.2,16.1,-0.05,-0.04,,,11.09,3.46,491000.0,9.14,2.44,0.72,,262.8,-39.808,349.217,-3.292,11.09 ± 0.74,3.46 ± 0.63,227.31 ± 0.59,-2.875 ± 0.008,2.509 ± 0.007,0.08,-2.69 ± 0.72,-2.07 ± 0.14,-0.64 ± 0.04,-250.44 ± 0.58,235.01 ± 0.39,192.45 ± 0.39,3.63 ± 0.62,13.22 ± 3.42,11.09,3.46,227.31,-2.875,2.509,-2.69,-2.07,-0.64,-250.44,235.01,192.45,3.63,13.22,FSR 1758,,8.425,0.5691394658753709,1071519.305237607,0.5417721383086778,mid_3_15kpc
NGC 6864 M 75,301.51978,-21.92116,20.52 ± 0.45,14.30 ± 0.42,46,513,4.59 ± 0.58 · 105,8.51 ± 0.04,2.05 ± 0.27,0.41,2.05,2.94,156.02,4.96,3.33,9.0,6.11,20.6,0.57 − 0.82,-0.45 ± 0.16,12.3,48.4,-0.36,-0.1,,,20.52,14.3,459000.0,8.51,2.05,-0.45,,301.519784,-21.921164,20.304,-25.747,20.52 ± 0.45,14.30 ± 0.41,-189.08 ± 1.12,-0.614 ± 0.016,-2.796 ± 0.015,0.18,-9.15 ± 0.38,6.41 ± 0.14,-8.91 ± 0.20,69.15 ± 1.26,-71.35 ± 1.46,53.63 ± 1.47,1.12 ± 0.21,16.15 ± 0.58,20.52,14.3,-189.08,-0.614,-2.796,-9.15,6.41,-8.91,69.15,-71.35,53.63,1.12,16.15,NGC 6864,M 75,8.635,0.8702953097857555,1288249.551693135,0.6437025734674308,mid_3_15kpc
NGC 2298,102.24754,-36.00531,9.83 ± 0.17,15.07 ± 0.14,42,558,4.98 ± 0.29 · 104,9.06 ± 0.03,1.70 ± 0.11,0.43,2.41,3.2,73.11,3.85,2.26,8.58,5.78,2.4,0.25 − 0.77,0.17 ± 0.13,3.9,15.3,-0.36,-0.12,,,9.83,15.07,49800.00000000001,9.06,1.7,0.17,,102.247543,-36.005306,245.629,-16.006,9.83 ± 0.17,15.07 ± 0.14,147.15 ± 0.57,3.312 ± 0.007,-2.183 ± 0.007,0.09,12.08 ± 0.07,-8.61 ± 0.15,-2.71 ± 0.05,-79.73 ± 0.39,34.25 ± 0.52,67.05 ± 0.36,0.97 ± 0.15,16.49 ± 0.22,9.83,15.07,147.15,3.312,-2.183,12.08,-8.61,-2.71,-79.73,34.25,67.05,0.97,16.49,NGC 2298,,8.729999999999999,0.888888888888889,602559.5860743581,0.9173525720096095,mid_3_15kpc
Pal 10,289.50873,18.57167,8.94 ± 1.18,7.60 ± 0.59,12,294,1.25 ± 0.21 · 105,12.37 ± 0.03,1.45 ± 0.25,2.23,4.03,6.91,63.38,2.41,1.66,9.39,5.5,32.4,—,-0.74 ± 0.30,3.9,14.6,-0.29,-0.09,,,8.94,7.6,125000.0,12.37,1.45,-0.74,,289.508728,18.571667,52.436,2.725,8.94 ± 1.18,7.60 ± 0.59,-31.70 ± 0.23,-4.326 ± 0.010,-7.173 ± 0.010,0.11,2.73 ± 0.72,7.08 ± 0.94,0.43 ± 0.06,-272.22 ± 0.38,10.22 ± 0.33,26.44 ± 0.44,6.38 ± 1.14,12.79 ± 6.02,8.94,7.6,-31.7,-4.326,-7.173,2.73,7.08,0.43,-272.22,10.22,26.44,6.38,12.79,Pal 10,,9.584999999999999,0.33437663015127805,316227.7660168379,0.6047152924789525,mid_3_15kpc
NGC 7089 M 2,323.36258,-0.82325,11.69 ± 0.11,10.54 ± 0.08,3931,5331,6.24 ± 0.08 · 105,6.48 ± 0.04,1.76 ± 0.07,0.71,3.05,4.76,110.77,4.46,2.84,9.45,6.26,20.3,0.24 − 0.78,-0.87 ± 0.16,11.1,43.6,-0.37,-0.08,3.01 ± 0.70,100.0,11.69,10.54,624000.0,6.48,1.76,-0.87,3.01,323.362579,-0.82325,53.371,-35.77,11.69 ± 0.11,10.54 ± 0.08,-3.78 ± 0.30,3.445 ± 0.009,-2.177 ± 0.009,-0.07,2.52 ± 0.06,7.61 ± 0.07,-6.83 ± 0.07,73.27 ± 0.47,146.63 ± 0.42,-173.80 ± 0.45,0.88 ± 0.06,18.74 ± 0.22,11.69,10.54,-3.78,3.445,-2.177,2.52,7.61,-6.83,73.27,146.63,-173.8,0.88,18.74,NGC 7089,M 2,9.809999999999999,0.9102956167176351,1819700.8586099825,0.6570864947128421,mid_3_15kpc
NGC 1904 M 79,81.04584,-24.52442,13.08 ± 0.18,19.09 ± 0.16,1313,372,1.81 ± 0.07 · 105,7.94 ± 0.04,1.81 ± 0.10,0.33,2.58,4.33,66.21,4.56,2.43,9.14,6.46,2.0,0.52 − 0.80,-1.38 ± 0.23,6.7,27.6,-0.42,-0.11,2.24 ± 0.46,100.0,13.08,19.09,181000.0,7.94,1.81,-1.38,2.24,81.045837,-24.524416,227.23,-29.35,13.08 ± 0.18,19.09 ± 0.16,205.76 ± 0.20,2.470 ± 0.007,-1.599 ± 0.008,0.02,15.92 ± 0.11,-8.37 ± 0.12,-6.41 ± 0.09,43.71 ± 0.39,-17.22 ± 0.38,5.41 ± 0.41,0.30 ± 0.14,19.57 ± 0.10,13.08,19.09,205.76,2.47,-1.599,15.92,-8.37,-6.41,43.71,-17.22,5.41,0.3,19.57,NGC 1904,M 79,9.935,0.9698037242073477,2884031.503126606,0.9372406300680918,mid_3_15kpc
NGC 6426,266.22796,3.17014,20.71 ± 0.35,14.45 ± 0.32,33,100,7.31 ± 2.44 · 104,11.13 ± 0.04,2.03 ± 0.68,2.62,5.2,7.88,88.69,2.0,1.25,9.4,5.41,14.3,0.24 − 0.78,-1.07 ± 0.14,2.8,10.3,-0.33,-0.11,,,20.71,14.45,73100.0,11.13,2.03,-1.07,,266.22796,3.170142,28.087,16.234,20.71 ± 0.35,14.45 ± 0.32,-210.51 ± 0.51,-1.821 ± 0.016,-2.998 ± 0.015,0.27,-9.36 ± 0.30,9.36 ± 0.16,5.79 ± 0.10,11.24 ± 0.91,-149.16 ± 1.37,-29.02 ± 1.48,3.67 ± 0.36,17.00 ± 0.52,20.71,14.45,-210.51,-1.821,-2.998,-9.36,9.36,5.79,11.24,-149.16,-29.02,3.67,17.0,NGC 6426,,10.335,0.644895984518626,257039.57827688646,0.715607999009181,mid_3_15kpc
NGC 1851,78.52816,-40.04655,11.95 ± 0.13,16.69 ± 0.11,8217,4973,2.83 ± 0.04 · 105,7.07 ± 0.04,1.48 ± 0.06,0.14,1.75,3.16,123.69,6.32,3.03,9.0,6.02,10.9,0.20 − 0.83,-0.70 ± 0.13,10.3,41.1,-0.41,-0.12,0.45 ± 0.42,71.2,11.95,16.69,283000.0,7.07,1.48,-0.7,0.45,78.52816,-40.046555,244.513,-35.036,11.95 ± 0.13,16.69 ± 0.11,321.40 ± 1.55,2.138 ± 0.008,-0.670 ± 0.008,-0.15,12.39 ± 0.05,-8.83 ± 0.10,-6.86 ± 0.08,81.45 ± 0.70,-68.15 ± 1.19,-83.31 ± 0.97,0.90 ± 0.03,19.90 ± 0.16,11.95,16.69,321.4,2.138,-0.67,12.39,-8.83,-6.86,81.45,-68.15,-83.31,0.9,19.9,NGC 1851,,10.399999999999999,0.9134615384615385,1047128.5480508985,0.7297370981559334,mid_3_15kpc
NGC 5272 M 3,205.54842,28.37728,10.18 ± 0.08,12.09 ± 0.06,727,4231,4.09 ± 0.07 · 105,6.39 ± 0.04,1.61 ± 0.07,0.98,3.4,5.47,129.25,3.78,2.48,9.5,5.93,76.1,0.17 − 0.77,-1.01 ± 0.12,8.2,32.0,-0.4,-0.1,1.75 ± 0.42,100.0,10.18,12.09,409000.0,6.39,1.61,-1.01,1.75,205.548416,28.377277,42.217,78.707,10.18 ± 0.08,12.09 ± 0.06,-147.20 ± 0.27,-0.153 ± 0.007,-2.679 ± 0.007,0.14,6.70 ± 0.01,1.34 ± 0.01,9.98 ± 0.08,-65.30 ± 0.32,127.78 ± 0.32,-134.17 ± 0.27,5.28 ± 0.02,15.80 ± 0.10,10.18,12.09,-147.2,-0.153,-2.679,6.7,1.34,9.98,-65.3,127.78,-134.17,5.28,15.8,NGC 5272,M 3,10.540000000000001,0.49905123339658436,851138.0382023759,0.5194669000297321,mid_3_15kpc
IC 1257,261.78543,-7.09306,26.59 ± 1.43,19.27 ± 1.36,5,0,1.8 · 104,13.81,1.80,0.99,4.13,5.53,59.77,2.42,1.1,8.82,5.66,1.0,—,0.12,1.7,6.7,-0.38,-0.13,,,26.59,19.27,18000.0,13.81,1.8,0.12,,261.785431,-7.093056,16.528,15.145,26.59 ± 1.43,19.27 ± 1.36,-137.97 ± 2.04,-1.029 ± 0.025,-1.490 ± 0.019,0.24,-16.43 ± 1.32,7.30 ± 0.39,6.95 ± 0.37,55.77 ± 2.11,-5.13 ± 2.57,-13.47 ± 2.87,1.03 ± 0.24,20.07 ± 1.37,26.59,19.27,-137.97,-1.029,-1.49,-16.43,7.3,6.95,55.77,-5.13,-13.47,1.03,20.07,IC 1257,,10.55,0.9023696682464454,457088.1896148752,0.9606202907689081,mid_3_15kpc
E 3,140.23779,-77.28189,7.88 ± 0.25,9.10 ± 0.13,15,50,2.56 ± 0.47 · 103,11.85 ± 0.03,1.13 ± 0.21,1.26,4.39,5.51,19.96,1.35,0.26,8.37,4.66,1.4,0.35 − 0.85,0.88 ± 0.24,0.6,2.4,-0.35,-0.12,,,7.88,9.1,2560.0,11.85,1.13,0.88,,140.237793,-77.281891,292.268,-19.017,7.88 ± 0.25,9.10 ± 0.13,11.70 ± 0.42,-2.734 ± 0.025,7.088 ± 0.025,0.02,5.36 ± 0.09,-6.89 ± 0.22,-2.57 ± 0.08,218.34 ± 0.89,111.39 ± 0.58,97.28 ± 0.89,9.01 ± 0.17,12.11 ± 0.87,7.88,9.1,11.7,-2.734,7.088,5.36,-6.89,-2.57,218.34,111.39,97.28,9.01,12.11,E 3,,10.559999999999999,0.14678030303030304,45708.818961487515,0.9439933024268915,mid_3_15kpc
NGC 6584,274.65665,-52.21578,13.61 ± 0.17,6.99 ± 0.15,28,839,1.15 ± 0.05 · 105,8.76 ± 0.03,1.51 ± 0.08,1.16,3.47,5.37,59.45,3.09,1.95,9.22,5.6,13.4,0.30 − 0.78,-0.80 ± 0.13,4.4,16.7,-0.37,-0.12,,,13.61,6.99,114999.99999999999,8.76,1.51,-0.8,,274.656647,-52.215778,342.143,-16.414,13.61 ± 0.17,6.99 ± 0.15,260.64 ± 1.58,-0.080 ± 0.008,-7.195 ± 0.008,-0.08,-4.25 ± 0.16,-4.00 ± 0.05,-3.85 ± 0.05,-69.58 ± 1.45,-216.63 ± 0.67,-238.12 ± 0.67,2.25 ± 0.22,19.79 ± 1.06,13.61,6.99,260.64,-0.08,-7.195,-4.25,-4.0,-3.85,-69.58,-216.63,-238.12,2.25,19.79,NGC 6584,,11.02,0.7958257713248639,398107.1705534969,0.7111330603763981,mid_3_15kpc
NGC 1261,48.06754,-55.21622,16.40 ± 0.19,18.28 ± 0.17,345,3179,1.72 ± 0.03 · 105,8.31 ± 0.04,1.54 ± 0.06,1.05,3.25,4.86,138.12,3.4,2.25,9.21,5.75,13.9,0.33 − 0.83,-0.61 ± 0.13,5.7,21.4,-0.34,-0.11,0.90 ± 0.64,86.9,16.4,18.28,172000.0,8.31,1.54,-0.61,0.9,48.067543,-55.216225,270.539,-52.124,16.40 ± 0.19,18.28 ± 0.17,71.34 ± 0.21,1.599 ± 0.009,-2.064 ± 0.009,0.06,8.08 ± 0.00,-10.07 ± 0.12,-12.95 ± 0.15,-78.82 ± 0.70,57.52 ± 0.57,68.81 ± 0.46,1.65 ± 0.06,21.08 ± 0.23,16.4,18.28,71.34,1.599,-2.064,8.08,-10.07,-12.95,-78.82,57.52,68.81,1.65,21.08,NGC 1261,,11.364999999999998,0.8548174219093709,562341.3251903491,0.6941359414733053,mid_3_15kpc
NGC 6981 M 72,313.36542,-12.53731,16.66 ± 0.18,12.53 ± 0.16,90,398,8.12 ± 1.28 · 104,9.32 ± 0.04,1.59 ± 0.26,2.1,4.14,5.79,53.99,2.38,1.7,9.13,5.89,2.8,0.40 − 0.81,-0.68 ± 0.13,3.5,12.4,-0.3,-0.13,,,16.66,12.53,81199.99999999999,9.32,1.59,-0.68,,313.365417,-12.537306,35.162,-32.683,16.66 ± 0.18,12.53 ± 0.16,-331.39 ± 1.47,-1.261 ± 0.007,-3.369 ± 0.005,0.08,-3.29 ± 0.13,8.08 ± 0.09,-9.00 ± 0.10,62.03 ± 1.07,-146.06 ± 0.80,170.23 ± 0.90,0.73 ± 0.03,22.08 ± 0.45,16.66,12.53,-331.39,-1.261,-3.369,-3.29,8.08,-9.0,62.03,-146.06,170.23,0.73,22.08,NGC 6981,M 72,11.405,0.9359929855326611,776247.1166286912,0.8953941364025175,mid_3_15kpc
NGC 5634,217.40533,-5.97643,25.96 ± 0.62,21.84 ± 0.57,50,84,2.47 ± 0.48 · 105,9.51 ± 0.07,2.37 ± 0.48,0.61,4.57,7.72,192.53,4.01,1.81,9.63,5.78,34.5,—,-0.93 ± 0.30,5.9,24.2,-0.39,-0.08,,,25.96,21.84,247000.00000000003,9.51,2.37,-0.93,,217.405335,-5.97643,342.21,49.26,25.96 ± 0.62,21.84 ± 0.57,-16.07 ± 0.60,-1.690 ± 0.009,-1.489 ± 0.008,-0.04,-7.95 ± 0.39,-5.18 ± 0.12,19.67 ± 0.47,59.05 ± 0.92,-14.26 ± 1.03,-26.56 ± 0.80,3.08 ± 0.25,22.18 ± 0.59,25.96,21.84,-16.07,-1.69,-1.489,-7.95,-5.18,19.67,59.05,-14.26,-26.56,3.08,22.18,NGC 5634,,12.629999999999999,0.756136183689628,602559.5860743581,0.5900820338629227,mid_3_15kpc
Pal 5,229.01917,-0.121,21.94 ± 0.51,17.27 ± 0.47,46,0,1.34 ± 0.24 · 104,11.86 ± 0.04,1.66 ± 0.30,15.35,20.42,27.63,49.73,-0.8,-1.12,9.9,4.78,7.7,0.29 − 0.81,-0.84 ± 0.19,0.7,2.1,-0.15,-0.06,,,21.94,17.27,13400.0,11.86,1.66,-0.84,,229.019167,-0.121,0.839,45.856,21.94 ± 0.51,17.27 ± 0.47,-58.61 ± 0.15,-2.754 ± 0.017,-2.643 ± 0.014,0.01,-7.10 ± 0.36,0.22 ± 0.01,15.74 ± 0.37,49.28 ± 1.16,-144.14 ± 1.59,-10.20 ± 1.13,8.88 ± 1.20,17.54 ± 0.61,21.94,17.27,-58.61,-2.754,-2.643,-7.1,0.22,15.74,49.28,-144.14,-10.2,8.88,17.54,Pal 5,,13.21,0.32778198334594993,60255.95860743581,0.777615354403367,mid_3_15kpc
NGC 5904 M 5,229.63841,2.08103,7.48 ± 0.06,6.27 ± 0.02,463,5285,3.92 ± 0.04 · 105,5.95 ± 0.03,1.81 ± 0.05,1.13,3.52,5.6,81.29,3.67,2.43,9.5,5.94,52.5,0.16 − 0.79,-0.76 ± 0.11,7.9,30.4,-0.37,-0.09,4.11 ± 0.42,100.0,7.48,6.27,392000.0,5.95,1.81,-0.76,4.11,229.638412,2.081028,3.859,46.796,7.48 ± 0.06,6.27 ± 0.02,53.50 ± 0.25,4.073 ± 0.006,-9.872 ± 0.006,-0.37,3.07 ± 0.04,0.34 ± 0.00,5.45 ± 0.04,-301.43 ± 0.23,89.62 ± 0.22,-181.13 ± 0.23,3.25 ± 0.03,23.44 ± 0.53,7.48,6.27,53.5,4.073,-9.872,3.07,0.34,5.45,-301.43,89.62,-181.13,3.25,23.44,NGC 5904,M 5,13.345,0.756463094792057,870963.5899560815,0.5499237803732224,mid_3_15kpc
NGC 4147,182.52626,18.54264,18.54 ± 0.21,20.74 ± 0.19,41,0,4.51 ± 1.09 · 104,10.29 ± 0.04,1.89 ± 0.46,0.43,2.53,3.47,93.73,3.89,2.12,8.61,5.47,4.8,0.20 − 0.77,-0.05 ± 0.13,3.6,14.2,-0.4,-0.11,,,18.54,20.74,45100.0,10.29,1.89,-0.05,,182.52626,18.542639,252.848,77.189,18.54 ± 0.21,20.74 ± 0.19,179.35 ± 0.31,-1.690 ± 0.014,-2.092 ± 0.013,-0.32,9.39 ± 0.01,-3.93 ± 0.05,18.07 ± 0.21,40.11 ± 1.18,-12.89 ± 1.16,130.14 ± 0.40,1.83 ± 0.09,25.27 ± 0.27,18.54,20.74,179.35,-1.69,-2.092,9.39,-3.93,18.07,40.11,-12.89,130.14,1.83,25.27,NGC 4147,,13.55,0.8649446494464943,295120.9226666384,0.8471812855812195,mid_3_15kpc
NGC 5053,199.11288,17.70025,17.54 ± 0.23,18.01 ± 0.20,55,48,6.28 ± 1.43 · 104,9.92 ± 0.04,2.16 ± 0.50,9.2,12.4,17.0,91.64,0.52,0.18,9.89,5.21,31.1,0.23 − 0.78,-1.09 ± 0.14,1.8,6.0,-0.12,-0.07,0.36 ± 0.90,15.5,17.54,18.01,62800.0,9.92,2.16,-1.09,0.36,199.112885,17.700251,335.699,78.946,17.54 ± 0.23,18.01 ± 0.20,42.82 ± 0.25,-0.338 ± 0.007,-1.214 ± 0.007,-0.34,5.11 ± 0.04,-1.38 ± 0.02,17.21 ± 0.23,-52.79 ± 0.58,150.82 ± 0.58,35.30 ± 0.27,10.79 ± 0.05,17.84 ± 0.20,17.54,18.01,42.82,-0.338,-1.214,5.11,-1.38,17.21,-52.79,150.82,35.3,10.79,17.84,NGC 5053,,14.315,0.24624519734544187,162181.009735893,0.6127783388309892,mid_3_15kpc
NGC 7492,347.11117,-15.61147,24.39 ± 0.57,23.57 ± 0.53,25,0,1.97 ± 0.34 · 104,11.14 ± 0.03,1.02 ± 0.18,4.24,7.62,10.59,85.69,0.88,0.3,9.31,5.19,3.8,0.60 − 0.79,-0.69 ± 0.42,1.3,4.4,-0.28,-0.11,,,24.39,23.57,19700.0,11.14,1.02,-0.69,,347.11117,-15.611469,53.386,-63.478,24.39 ± 0.57,23.57 ± 0.52,-176.70 ± 0.27,0.777 ± 0.011,-2.321 ± 0.011,0.21,1.68 ± 0.15,8.74 ± 0.21,-21.82 ± 0.51,-1.29 ± 1.26,-75.12 ± 1.16,70.68 ± 0.62,2.81 ± 0.38,26.03 ± 0.64,24.39,23.57,-176.7,0.777,-2.321,1.68,8.74,-21.82,-1.29,-75.12,70.68,2.81,26.03,NGC 7492,,14.42,0.8051317614424411,154881.66189124828,0.872806116880173,mid_3_15kpc
NGC 6229,251.74525,47.5278,30.11 ± 0.47,29.45 ± 0.44,20,0,2.47 ± 0.81 · 105,9.33 ± 0.05,1.67 ± 0.55,1.11,3.12,4.8,191.54,3.56,2.44,9.27,5.91,16.2,0.65 − 0.79,-1.47 ± 0.48,6.7,25.3,-0.34,-0.11,,,30.11,29.45,247000.00000000003,9.33,1.67,-1.47,,251.745249,47.527796,73.639,40.306,30.11 ± 0.47,29.45 ± 0.44,-137.89 ± 0.71,-1.156 ± 0.017,-0.461 ± 0.018,0.17,1.71 ± 0.10,22.03 ± 0.34,19.47 ± 0.30,-7.59 ± 2.53,30.75 ± 1.77,45.79 ± 1.93,1.43 ± 0.20,30.36 ± 0.40,30.11,29.45,-137.89,-1.156,-0.461,1.71,22.03,19.47,-7.59,30.75,45.79,1.43,30.36,NGC 6229,,15.895,0.9100346020761246,812830.5161640996,0.6961236136093418,outer_>15kpc
NGC 5024 M 53,198.23021,18.16817,18.50 ± 0.18,19.00 ± 0.16,338,4130,5.02 ± 0.08 · 105,7.70 ± 0.04,1.95 ± 0.08,1.87,6.46,10.03,183.04,3.1,1.77,9.93,6.0,150.0,0.26 − 0.78,-1.20 ± 0.11,6.8,25.9,-0.33,-0.04,1.17 ± 0.62,99.5,18.5,19.0,501999.99999999994,7.7,1.95,-1.2,1.17,198.230209,18.168165,332.963,79.764,18.50 ± 0.18,19.00 ± 0.16,-63.37 ± 0.25,-0.131 ± 0.005,-1.332 ± 0.005,-0.34,5.25 ± 0.03,-1.49 ± 0.01,18.20 ± 0.18,-57.27 ± 0.41,155.76 ± 0.41,-72.49 ± 0.26,9.28 ± 0.03,22.64 ± 0.17,18.5,19.0,-63.37,-0.131,-1.332,5.25,-1.49,18.2,-57.27,155.76,-72.49,9.28,22.64,NGC 5024,M 53,15.96,0.418546365914787,1000000.0,0.4980000000000001,outer_>15kpc
Pal 1,53.3335,79.58105,11.18 ± 0.32,17.41 ± 0.29,7,0,9.26 ± 1.83 · 102,13.95 ± 0.03,2.15 ± 0.43,0.46,2.01,3.43,22.84,2.03,0.44,7.82,4.09,1.2,0.20 − 1.00,-0.51 ± 0.17,0.5,1.9,-0.23,-0.08,,,11.18,17.41,926.0,13.95,2.15,-0.51,,53.3335,79.581055,130.065,19.028,11.18 ± 0.32,17.41 ± 0.29,-75.72 ± 0.29,-0.257 ± 0.026,0.019 ± 0.029,0.17,14.98 ± 0.20,8.09 ± 0.23,3.64 ± 0.11,-64.32 ± 1.20,206.67 ± 0.99,-24.56 ± 1.41,14.77 ± 0.29,18.98 ± 0.45,11.18,17.41,-75.72,-0.257,0.019,14.98,8.09,3.64,-64.32,206.67,-24.56,14.77,18.98,Pal 1,,16.875,0.12474074074074076,12302.68770812381,0.9247318942032043,outer_>15kpc
NGC 3201,154.40343,-46.41248,4.74 ± 0.04,8.93 ± 0.02,4246,4704,1.93 ± 0.03 · 105,6.77 ± 0.04,2.59 ± 0.10,1.66,5.17,8.68,82.34,2.82,1.55,9.66,5.61,69.4,0.24 − 0.80,-1.02 ± 0.16,4.5,17.3,-0.35,-0.06,0.80 ± 0.41,98.8,4.74,8.93,193000.0,6.77,2.59,-1.02,0.8,154.403427,-46.412476,277.229,8.64,4.74 ± 0.04,8.93 ± 0.02,495.39 ± 0.06,8.350 ± 0.005,-1.976 ± 0.005,0.18,7.59 ± 0.01,-4.65 ± 0.04,0.71 ± 0.01,-249.99 ± 0.11,-199.09 ± 0.21,148.84 ± 0.11,8.34 ± 0.02,25.52 ± 0.37,4.74,8.93,495.39,8.35,-1.976,7.59,-4.65,0.71,-249.99,-199.09,148.84,8.34,25.52,NGC 3201,,16.93,0.5073833431777909,407380.27780411305,0.5262411792727895,outer_>15kpc
IC 4499,225.07719,-82.21379,18.89 ± 0.25,15.75 ± 0.22,68,134,1.50 ± 0.25 · 105,9.84 ± 0.05,2.21 ± 0.38,5.02,10.26,14.96,110.32,1.47,0.75,9.97,5.53,48.9,0.28 − 0.81,-1.22 ± 0.15,2.9,10.5,-0.24,-0.04,,,18.89,15.75,150000.0,9.84,2.21,-1.22,,225.077188,-82.213792,307.354,-20.473,18.89 ± 0.25,15.75 ± 0.22,38.41 ± 0.31,0.457 ± 0.007,-0.492 ± 0.007,-0.05,-2.56 ± 0.14,-14.07 ± 0.19,-6.61 ± 0.09,-30.75 ± 0.55,247.81 ± 0.48,-61.21 ± 0.62,6.68 ± 0.19,28.58 ± 0.53,18.89,15.75,38.41,0.457,-0.492,-2.56,-14.07,-6.61,-30.75,247.81,-61.21,6.68,28.58,IC 4499,,17.63,0.6211003970504821,338844.15613920277,0.5573186160000425,outer_>15kpc
NGC 4590 M 68,189.86658,-26.74406,10.40 ± 0.10,10.35 ± 0.07,262,861,1.28 ± 0.06 · 105,7.99 ± 0.04,1.89 ± 0.11,1.86,4.44,7.27,78.28,2.59,1.6,9.48,5.46,55.1,0.18 − 0.77,-1.17 ± 0.14,4.0,14.8,-0.33,-0.11,0.27 ± 0.51,17.2,10.4,10.35,128000.0,7.99,1.89,-1.17,0.27,189.866577,-26.744057,299.626,36.051,10.40 ± 0.10,10.35 ± 0.07,-93.11 ± 0.18,-2.732 ± 0.005,1.764 ± 0.005,-0.15,4.02 ± 0.04,-7.31 ± 0.07,6.12 ± 0.06,170.43 ± 0.24,289.18 ± 0.21,16.43 ± 0.21,8.88 ± 0.06,29.37 ± 0.41,10.4,10.35,-93.11,-2.732,1.764,4.02,-7.31,6.12,170.43,289.18,16.43,8.88,29.37,NGC 4590,M 68,19.125,0.535686274509804,288403.15031266055,0.5561768314207595,outer_>15kpc
Rup 106,189.6675,-51.15028,20.71 ± 0.36,18.04 ± 0.32,31,64,3.40 ± 0.58 · 104,11.05 ± 0.03,1.38 ± 0.24,5.03,7.62,11.14,73.48,0.95,0.47,9.48,5.1,10.9,0.22 − 0.81,-0.81 ± 0.14,1.6,5.6,-0.22,-0.09,,,20.71,18.04,34000.0,11.05,1.38,-0.81,,189.6675,-51.150278,300.888,11.671,20.71 ± 0.36,18.04 ± 0.32,-38.36 ± 0.26,-1.253 ± 0.008,0.401 ± 0.008,0.45,-2.23 ± 0.18,-17.41 ± 0.30,4.19 ± 0.07,118.81 ± 0.71,226.10 ± 0.49,31.88 ± 0.73,4.63 ± 0.13,34.70 ± 0.76,20.71,18.04,-38.36,-1.253,0.401,-2.23,-17.41,4.19,118.81,226.1,31.88,4.63,34.7,Rup 106,,19.665000000000003,0.7645563183320621,125892.54117941661,0.729928400193744,outer_>15kpc
